"","UniqueCarrier","delta_mean_delay","Year"
"140","TZ",0,"1992"
"141","UA",0.0239634807377369,"1992"
"142","US",1.11271400686048,"1992"
"143","WN",-4.41740228597434,"1992"
"144","XE",0,"1992"
"145","YV",0,"1992"
"146","9E",0,"1993"
"147","AA",0.736013074677276,"1993"
"148","AQ",0,"1993"
"149","AS",-0.38231974319682,"1993"
"150","B6",0,"1993"
"151","CO",0.271845297427352,"1993"
"152","DH",0,"1993"
"153","DL",3.29121951806346,"1993"
"154","EA",0,"1993"
"155","EV",0,"1993"
"156","F9",0,"1993"
"157","FL",0,"1993"
"158","HA",0,"1993"
"159","HP",-0.547154933630898,"1993"
"160","ML (1)",0,"1993"
"161","MQ",0,"1993"
"162","NW",-3.39485855157294,"1993"
"163","OH",0,"1993"
"164","OO",0,"1993"
"165","PA (1)",0,"1993"
"166","PI",0,"1993"
"167","PS",0,"1993"
"168","TW",-1.71933559647901,"1993"
"169","TZ",0,"1993"
"170","UA",1.44954615671281,"1993"
"171","US",-1.1495695901513,"1993"
"172","WN",-3.02856191099023,"1993"
"173","XE",0,"1993"
"174","YV",0,"1993"
"175","9E",0,"1994"
"176","AA",0.0340667455265971,"1994"
"177","AQ",0,"1994"
"178","AS",0.0942018416641881,"1994"
"179","B6",0,"1994"
"180","CO",1.6166678839064,"1994"
"181","DH",0,"1994"
"182","DL",0.910670297181214,"1994"
"183","EA",0,"1994"
"184","EV",0,"1994"
"185","F9",0,"1994"
"186","FL",0,"1994"
"187","HA",0,"1994"
"188","HP",2.23956789859373,"1994"
"189","ML (1)",0,"1994"
"190","MQ",0,"1994"
"191","NW",-3.6045660181597,"1994"
"192","OH",0,"1994"
"193","OO",0,"1994"
"194","PA (1)",0,"1994"
"195","PI",0,"1994"
"196","PS",0,"1994"
"197","TW",0.0966451078066708,"1994"
"198","TZ",0,"1994"
"199","UA",-0.52767243962702,"1994"
"200","US",0.764216179413006,"1994"
"201","WN",-1.0668453955702,"1994"
"202","XE",0,"1994"
"203","YV",0,"1994"
"204","9E",0,"1995"
"205","AA",0.244149921376838,"1995"
"206","AQ",0,"1995"
"207","AS",1.60541253586038,"1995"
"208","B6",0,"1995"
"209","CO",-0.678185838892245,"1995"
"210","DH",0,"1995"
"211","DL",1.22323957108329,"1995"
"212","EA",0,"1995"
"213","EV",0,"1995"
"214","F9",0,"1995"
"215","FL",0,"1995"
"216","HA",0,"1995"
"217","HP",2.12931815558793,"1995"
"218","ML (1)",0,"1995"
"219","MQ",0,"1995"
"220","NW",-2.14314638536233,"1995"
"221","OH",0,"1995"
"222","OO",0,"1995"
"223","PA (1)",0,"1995"
"224","PI",0,"1995"
"225","PS",0,"1995"
"226","TW",1.87863117893704,"1995"
"227","TZ",0,"1995"
"228","UA",0.200431988455425,"1995"
"229","US",-0.879338627094919,"1995"
"230","WN",-0.64986982794303,"1995"
"231","XE",0,"1995"
"232","YV",0,"1995"
"233","9E",0,"1996"
"234","AA",1.22651414485213,"1996"
"235","AQ",0,"1996"
"236","AS",3.55383620711812,"1996"
"237","B6",0,"1996"
"238","CO",-0.220299481458815,"1996"
"239","DH",0,"1996"
"240","DL",1.83860085708572,"1996"
"241","EA",0,"1996"
"242","EV",0,"1996"
"243","F9",0,"1996"
"244","FL",0,"1996"
"245","HA",0,"1996"
"246","HP",3.33580365501547,"1996"
"247","ML (1)",0,"1996"
"248","MQ",0,"1996"
"249","NW",-2.53651388117981,"1996"
"250","OH",0,"1996"
"251","OO",0,"1996"
"252","PA (1)",0,"1996"
"253","PI",0,"1996"
"254","PS",0,"1996"
"255","TW",2.08932137300746,"1996"
"256","TZ",0,"1996"
"257","UA",0.621392979084236,"1996"
"258","US",-1.49382568016726,"1996"
"259","WN",-2.78289981468759,"1996"
"260","XE",0,"1996"
"261","YV",0,"1996"
"262","9E",0,"1997"
"263","AA",-2.63102845285599,"1997"
"264","AQ",0,"1997"
"265","AS",2.02200219301012,"1997"
"266","B6",0,"1997"
"267","CO",0.503431930638589,"1997"
"268","DH",0,"1997"
"269","DL",2.03007579000369,"1997"
"270","EA",0,"1997"
"271","EV",0,"1997"
"272","F9",0,"1997"
"273","FL",0,"1997"
"274","HA",0,"1997"
"275","HP",1.79438604224443,"1997"
"276","ML (1)",0,"1997"
"277","MQ",0,"1997"
"278","NW",1.20519685474868,"1997"
"279","OH",0,"1997"
"280","OO",0,"1997"
"281","PA (1)",0,"1997"
"282","PI",0,"1997"
"283","PS",0,"1997"
"284","TW",-1.80644354651424,"1997"
"285","TZ",0,"1997"
"286","UA",1.22334711680353,"1997"
"287","US",-1.92109275765516,"1997"
"288","WN",-0.853127063526792,"1997"
"289","XE",0,"1997"
"290","YV",0,"1997"
"291","9E",0,"1998"
"292","AA",-3.18757736937719,"1998"
"293","AQ",0,"1998"
"294","AS",3.86617039506734,"1998"
"295","B6",0,"1998"
"296","CO",0.258579559566743,"1998"
"297","DH",0,"1998"
"298","DL",-1.82686932130999,"1998"
"299","EA",0,"1998"
"300","EV",0,"1998"
"301","F9",0,"1998"
"302","FL",0,"1998"
"303","HA",0,"1998"
"304","HP",7.76154078766024,"1998"
"305","ML (1)",0,"1998"
"306","MQ",0,"1998"
"307","NW",0.368608171050322,"1998"
"308","OH",0,"1998"
"309","OO",0,"1998"
"310","PA (1)",0,"1998"
"311","PI",0,"1998"
"312","PS",0,"1998"
"313","TW",-0.084361736444869,"1998"
"314","TZ",0,"1998"
"315","UA",3.41094137034128,"1998"
"316","US",-1.3993204520141,"1998"
"317","WN",-0.282402679003618,"1998"
"318","XE",0,"1998"
"319","YV",0,"1998"
"320","9E",0,"1999"
"321","AA",0.672315470508753,"1999"
"322","AQ",0,"1999"
"323","AS",2.75712148472472,"1999"
"324","B6",0,"1999"
"325","CO",0.23375312507995,"1999"
"326","DH",0,"1999"
"327","DL",-1.56766848921692,"1999"
"328","EA",0,"1999"
"329","EV",0,"1999"
"330","F9",0,"1999"
"331","FL",0,"1999"
"332","HA",0,"1999"
"333","HP",4.96163343765196,"1999"
"334","ML (1)",0,"1999"
"335","MQ",0,"1999"
"336","NW",-3.85672058595744,"1999"
"337","OH",0,"1999"
"338","OO",0,"1999"
"339","PA (1)",0,"1999"
"340","PI",0,"1999"
"341","PS",0,"1999"
"342","TW",-2.23772027289999,"1999"
"343","TZ",0,"1999"
"344","UA",1.63581386136459,"1999"
"345","US",2.19500820452011,"1999"
"346","WN",-0.776758125062142,"1999"
"347","XE",0,"1999"
"348","YV",0,"1999"
"349","9E",0,"2000"
"350","AA",-0.746059999399623,"2000"
"351","AQ",-7.93132299614266,"2000"
"352","AS",2.34856007887146,"2000"
"353","B6",0,"2000"
"354","CO",-3.62292364276892,"2000"
"355","DH",0,"2000"
"356","DL",-2.19332342467548,"2000"
"357","EA",0,"2000"
"358","EV",0,"2000"
"359","F9",0,"2000"
"360","FL",0,"2000"
"361","HA",0,"2000"
"362","HP",4.46523184897453,"2000"
"363","ML (1)",0,"2000"
"364","MQ",0,"2000"
"365","NW",-4.52373821886198,"2000"
"366","OH",0,"2000"
"367","OO",0,"2000"
"368","PA (1)",0,"2000"
"369","PI",0,"2000"
"370","PS",0,"2000"
"371","TW",-1.32936419790831,"2000"
"372","TZ",0,"2000"
"373","UA",8.00670584819679,"2000"
"374","US",-0.610991344652977,"2000"
"375","WN",0.00460390862344617,"2000"
"376","XE",0,"2000"
"377","YV",0,"2000"
"378","9E",0,"2001"
"379","AA",0.254356462560946,"2001"
"380","AQ",-0.639684840389976,"2001"
"381","AS",6.1886303727105,"2001"
"382","B6",0,"2001"
"383","CO",-2.20496410420608,"2001"
"384","DH",0,"2001"
"385","DL",-0.543940477005071,"2001"
"386","EA",0,"2001"
"387","EV",0,"2001"
"388","F9",0,"2001"
"389","FL",0,"2001"
"390","HA",0,"2001"
"391","HP",2.7958093111114,"2001"
"392","ML (1)",0,"2001"
"393","MQ",2.23285056459646,"2001"
"394","NW",-2.37644617060926,"2001"
"395","OH",0,"2001"
"396","OO",0,"2001"
"397","PA (1)",0,"2001"
"398","PI",0,"2001"
"399","PS",0,"2001"
"400","TW",-1.27975377034679,"2001"
"401","TZ",0,"2001"
"402","UA",3.09728131312677,"2001"
"403","US",-2.01469709943555,"2001"
"404","WN",-0.672426797313865,"2001"
"405","XE",0,"2001"
"406","YV",0,"2001"
"407","9E",0,"2002"
"408","AA",-2.00833506583749,"2002"
"409","AQ",0,"2002"
"410","AS",2.21281551694267,"2002"
"411","B6",0,"2002"
"412","CO",-0.89400922250502,"2002"
"413","DH",0,"2002"
"414","DL",2.52105565175554,"2002"
"415","EA",0,"2002"
"416","EV",0,"2002"
"417","F9",0,"2002"
"418","FL",0,"2002"
"419","HA",0,"2002"
"420","HP",-0.712266174554767,"2002"
"421","ML (1)",0,"2002"
"422","MQ",1.02351089394637,"2002"
"423","NW",0.342387789536652,"2002"
"424","OH",0,"2002"
"425","OO",0,"2002"
"426","PA (1)",0,"2002"
"427","PI",0,"2002"
"428","PS",0,"2002"
"429","TW",0,"2002"
"430","TZ",0,"2002"
"431","UA",-0.75815976192246,"2002"
"432","US",-1.7212997676768,"2002"
"433","WN",0.699455892300538,"2002"
"434","XE",0,"2002"
"435","YV",0,"2002"
"436","9E",0,"2003"
"437","AA",-0.389356104763682,"2003"
"438","AQ",0,"2003"
"439","AS",-0.419018688262592,"2003"
"440","B6",-2.61066041148637,"2003"
"441","CO",0.186245639990007,"2003"
"442","DH",2.93712612223328,"2003"
"443","DL",0.258603617439487,"2003"
"444","EA",0,"2003"
"445","EV",3.0632024377392,"2003"
"446","F9",0,"2003"
"447","FL",4.76937576715912,"2003"
"448","HA",-3.73966124426368,"2003"
"449","HP",-0.535161305547551,"2003"
"450","ML (1)",0,"2003"
"451","MQ",0.642639527298747,"2003"
"452","NW",-1.63344598868061,"2003"
"453","OH",0,"2003"
"454","OO",-1.30909038133292,"2003"
"455","PA (1)",0,"2003"
"456","PI",0,"2003"
"457","PS",0,"2003"
"458","TW",0,"2003"
"459","TZ",1.36290452454014,"2003"
"460","UA",-0.482785859490885,"2003"
"461","US",0.626403869861742,"2003"
"462","WN",-1.53283111257,"2003"
"463","XE",1.63227338185999,"2003"
"464","YV",0,"2003"
"465","9E",0,"2004"
"466","AA",1.63555645140212,"2004"
"467","AQ",0,"2004"
"468","AS",0.132572511057564,"2004"
"469","B6",-4.8797749295381,"2004"
"470","CO",0.364922857938551,"2004"
"471","DH",0.990401728438112,"2004"
"472","DL",1.70351277637346,"2004"
"473","EA",0,"2004"
"474","EV",-0.69889192666916,"2004"
"475","F9",0,"2004"
"476","FL",1.29482698487307,"2004"
"477","HA",-8.57970208162991,"2004"
"478","HP",0.411332773653888,"2004"
"479","ML (1)",0,"2004"
"480","MQ",2.73383131615324,"2004"
"481","NW",-0.793439256322673,"2004"
"482","OH",-1.72862311175163,"2004"
"483","OO",-2.70770804815541,"2004"
"484","PA (1)",0,"2004"
"485","PI",0,"2004"
"486","PS",0,"2004"
"487","TW",0,"2004"
"488","TZ",-0.936887861161056,"2004"
"489","UA",-0.532113021063521,"2004"
"490","US",-2.02908828843682,"2004"
"491","WN",-0.231798991614238,"2004"
"492","XE",1.36917781114466,"2004"
"493","YV",0,"2004"
"494","9E",0,"2005"
"495","AA",1.13039047971331,"2005"
"496","AQ",0,"2005"
"497","AS",5.03909628218482,"2005"
"498","B6",3.62363687654319,"2005"
"499","CO",1.39135590755256,"2005"
"500","DH",-1.17122997721059,"2005"
"501","DL",0.731836713685056,"2005"
"502","EA",0,"2005"
"503","EV",2.77449567408354,"2005"
"504","F9",-3.67379822059878,"2005"
"505","FL",7.18504997713849,"2005"
"506","HA",-9.48706754100932,"2005"
"507","HP",-3.83513081021867,"2005"
"508","ML (1)",0,"2005"
"509","MQ",0.476630491268912,"2005"
"510","NW",1.64400668938389,"2005"
"511","OH",-3.77167036249281,"2005"
"512","OO",-3.33172466117596,"2005"
"513","PA (1)",0,"2005"
"514","PI",0,"2005"
"515","PS",0,"2005"
"516","TW",0,"2005"
"517","TZ",-2.54921381445095,"2005"
"518","UA",0.379014539256231,"2005"
"519","US",-0.541139392647822,"2005"
"520","WN",-1.8458523805423,"2005"
"521","XE",1.71089286361148,"2005"
"522","YV",0,"2005"
"523","9E",0,"2006"
"524","AA",0.915425875368816,"2006"
"525","AQ",-9.32878129172274,"2006"
"526","AS",0.445582632732117,"2006"
"527","B6",2.2267633411419,"2006"
"528","CO",2.62855721055888,"2006"
"529","DH",0,"2006"
"530","DL",-1.6706298137808,"2006"
"531","EA",0,"2006"
"532","EV",5.87681802637007,"2006"
"533","F9",-4.03008677634226,"2006"
"534","FL",0.761892338745882,"2006"
"535","HA",-9.71483610223819,"2006"
"536","HP",0,"2006"
"537","ML (1)",0,"2006"
"538","MQ",2.20783316608927,"2006"
"539","NW",-0.629788412130249,"2006"
"540","OH",0.197190779656493,"2006"
"541","OO",-0.483575357738241,"2006"
"542","PA (1)",0,"2006"
"543","PI",0,"2006"
"544","PS",0,"2006"
"545","TW",0,"2006"
"546","TZ",7.0878801087591,"2006"
"547","UA",1.81961736788812,"2006"
"548","US",-2.05371886569383,"2006"
"549","WN",-3.63936491772223,"2006"
"550","XE",2.03948976175665,"2006"
"551","YV",2.94430605672454,"2006"
"552","9E",-2.0538434935065,"2007"
"553","AA",4.2496882672096,"2007"
"554","AQ",-11.5690763646153,"2007"
"555","AS",-0.929392818450536,"2007"
"556","B6",3.24775508416683,"2007"
"557","CO",0.077282796223658,"2007"
"558","DH",0,"2007"
"559","DL",-2.88914185598784,"2007"
"560","EA",0,"2007"
"561","EV",7.00354854209559,"2007"
"562","F9",-2.76029508207347,"2007"
"563","FL",-2.25425800204222,"2007"
"564","HA",-10.6226981357519,"2007"
"565","HP",0,"2007"
"566","ML (1)",0,"2007"
"567","MQ",2.80061298997673,"2007"
"568","NW",2.36696122767845,"2007"
"569","OH",2.94287028217309,"2007"
"570","OO",-1.35329340700901,"2007"
"571","PA (1)",0,"2007"
"572","PI",0,"2007"
"573","PS",0,"2007"
"574","TW",0,"2007"
"575","TZ",0,"2007"
"576","UA",2.56094148172189,"2007"
"577","US",1.33508806587866,"2007"
"578","WN",-4.71922217465136,"2007"
"579","XE",-0.185128795345433,"2007"
"580","YV",0.771295905383486,"2007"
